Date,SPY,QQQ,TLT,GLD,EEM,IWM,VNQ,LQD
2020-06-02,0.077816546,0.06321979,0.38024777,0.13357039,0.035476096,0.048743468,0.033790357,0.22713558
2020-06-03,0.07781345,0.06317804,0.38002926,0.1335419,0.035450857,0.04872862,0.03374568,0.22751221
2020-06-04,0.07828899,0.063442394,0.37827197,0.13382061,0.035609793,0.049029585,0.034003865,0.22753285
2020-06-05,0.07807035,0.063264064,0.37894663,0.13365383,0.035592318,0.04888043,0.033906214,0.22768624
2020-06-08,0.0781187,0.063279904,0.37883887,0.13370372,0.035569564,0.04887634,0.03388788,0.22772491
2020-06-09,0.07822453,0.06336916,0.3783723,0.13373712,0.03560861,0.04900306,0.033990774,0.22769448
2020-06-10,0.0781476,0.06325869,0.37858164,0.13377844,0.03558035,0.04891013,0.033872336,0.22787085
2020-06-11,0.07775096,0.062772535,0.38115442,0.133416,0.035018045,0.04832168,0.03327246,0.22829393
2020-06-12,0.07765533,0.06281562,0.3810407,0.13335393,0.035143234,0.048405915,0.03337705,0.22820821
2020-06-15,0.07765884,0.06284788,0.38108695,0.1333379,0.035133213,0.048385687,0.033379033,0.22817047
2020-06-16,0.07775899,0.06299917,0.38054308,0.13341895,0.035288822,0.048528977,0.03356454,0.22789748
2020-06-17,0.07788569,0.06295483,0.3804783,0.13353114,0.03517463,0.048499312,0.033474155,0.22800194
2020-06-18,0.07785099,0.0629541,0.3803176,0.13348688,0.035251908,0.048534073,0.03351637,0.22808807
2020-06-19,0.07791719,0.06290378,0.38022888,0.13355407,0.035216164,0.04854256,0.033483505,0.22815388
2020-06-22,0.077941164,0.06285544,0.3797979,0.13356943,0.03527959,0.048595633,0.03349883,0.22846197
2020-06-23,0.077982716,0.06293578,0.3795625,0.1336163,0.035333123,0.048651736,0.033565376,0.22835249
2020-06-24,0.07795146,0.06289137,0.38001826,0.13360853,0.035210088,0.048542976,0.033448048,0.22832921
2020-06-25,0.0779532,0.062937215,0.3796667,0.13361827,0.035296608,0.048632577,0.033530634,0.2283648
2020-06-26,0.077901185,0.06289116,0.3802204,0.133611,0.03516509,0.0485024,0.03340263,0.22830613
2020-06-29,0.07793198,0.062914014,0.37983975,0.13360377,0.03524256,0.048600372,0.03346912,0.22839847
2020-06-30,0.07792407,0.062931806,0.37990192,0.13360749,0.03524662,0.048587736,0.033476647,0.2283238
