,net_return
2008-11-21,0.05271989795047954
2008-11-24,0.05200181581379477
2008-11-25,0.006119839127193925
2008-11-26,0.031669045733687874
2008-11-28,-0.0013907628602666873
2008-12-01,-0.0768955220311242
2008-12-02,0.042036154389103776
2008-12-03,0.017998398547339315
2008-12-04,-0.018233947444799673
2008-12-05,0.029670673430060378
2008-12-08,0.03722575827629261
2008-12-09,-0.015865110329291623
2008-12-10,0.026359679843987637
2008-12-11,-0.03342872848494291
2008-12-12,0.0233106098767086
2008-12-15,-0.010056267148810276
2008-12-16,0.051895521483306076
2008-12-17,0.005088322779803501
2008-12-18,-0.015719776949123763
2008-12-19,0.006416038432153449
2008-12-22,-0.014571537585207725
2008-12-23,-0.006520001069565525
2008-12-24,0.0051607649665221375
2008-12-26,0.007631460404511976
2008-12-29,-0.009609736302127313
2008-12-30,0.018731175059186637
2008-12-31,0.012367202187802063
2009-01-02,0.008372665669670827
2009-01-05,-0.005424857193739075
2009-01-06,0.012960278252058663
2009-01-07,-0.026925097066385302
2009-01-08,0.004298488601796737
2009-01-09,-0.01864216663137669
2009-01-12,-0.02621089757753669
2009-01-13,0.0060500505987867
2009-01-14,-0.02662686212196659
2009-01-15,0.01093218059095185
2009-01-16,0.011332018991927312
2009-01-20,-0.045591773977447264
2009-01-21,0.03044639232504794
2009-01-22,-0.020804264286712736
2009-01-23,0.010990500189227823
2009-01-26,0.0022642389649409995
2009-01-27,0.011920391395129489
2009-01-28,0.026543010067574736
2009-01-29,-0.030974936279584073
2009-01-30,-0.010546908866876188
2009-02-02,0.002122103087440225
2009-02-03,0.0030355605290565994
2009-02-04,-0.0029066424646587504
2009-02-05,0.006270689181352789
2009-02-06,0.02521194060634975
2009-02-09,0.00015612920534048758
2009-02-10,-0.029963501954533803
2009-02-11,0.011586246882848537
2009-02-12,-0.00015942466725075
2009-02-13,-0.015693154645055423
2009-02-17,-0.024657267078738762
2009-02-18,-0.0009134451798744376
2009-02-19,-0.01639484611485745
2009-02-20,0.005180683766876063
2009-02-23,-0.02615110382272219
2009-02-24,0.025583794229668277
2009-02-25,-0.014294345270462326
2009-02-26,-0.017881446788480613
2009-02-27,-0.010682411676660761
2009-03-02,-0.03326476973094058
2009-03-03,-0.003932711712716986
2009-03-04,0.017166154747128497
2009-03-05,-0.02183603296845679
2009-03-06,9.240113341505031e-05
2009-03-09,-0.013354009273410712
2009-03-10,0.044642741000088866
2009-03-11,0.00374996332397165
2009-03-12,0.03406861894944423
2009-03-13,0.001379135552238813
2009-03-16,-0.017402945871808174
2009-03-17,0.02382375139760993
2009-03-18,0.029277292641872482
2009-03-19,-0.009575933564879
2009-03-20,-0.02496482327284299
2009-03-23,0.0530925017790345
2009-03-24,-0.02533571701982555
